case_id,source_arm,attempt_id,command_or_url,resolved_id,title,source,year,main_text_status,chars_returned,lines_returned,sections_status,figures_status,tables_status,supplements_status,elapsed_seconds,steps,false_positive_count,map_n_honored,notes
famulare-2018-plosbio,Paperclip MCP,famulare-2018-plosbio-lookup-doi,lookup doi 10.1371/journal.pbio.2002468,,,,,not resolved,,,,,,,,,,,DOI lookup; packet=famulare-2018-plosbio__lookup_doi.txt
famulare-2018-plosbio,Paperclip MCP,famulare-2018-plosbio-lookup-pmid,lookup pmid 29702638,PMC5942853,,,,resolved,,,,,,,,,,,PMID lookup; packet=famulare-2018-plosbio__lookup_pmid.txt
famulare-2018-plosbio,Paperclip MCP,famulare-2018-plosbio-search-title,"search -t --all ""Assessing the stability of polio eradication after the withdrawal of oral polio vaccine"" -n 5",PMC5942853,,,,title-search-returned-5-results,,,,,,,,,,,Title search; packet=famulare-2018-plosbio__search_title.txt
famulare-2018-plosbio,Paperclip MCP,famulare-2018-plosbio-ls,ls /papers/PMC5942853/,PMC5942853,,,,,,,,,,,,,,,ls; packet=famulare-2018-plosbio__ls.txt
famulare-2018-plosbio,Paperclip MCP,famulare-2018-plosbio-wc,wc /papers/PMC5942853/content.lines,PMC5942853,,,,,1081313,252,,,,,,,,,wc; packet=famulare-2018-plosbio__wc.txt
famulare-2018-plosbio,Paperclip MCP,famulare-2018-plosbio-ls-supplements,ls /papers/PMC5942853/supplements/,PMC5942853,,,,,,,,,,,,,,,supplement ls; packet=famulare-2018-plosbio__ls_supplements.txt
famulare-2018-plosbio,Paperclip MCP,famulare-2018-plosbio-grep-supplement,"grep -n -i -m 5 ""supplement|appendix"" /papers/PMC5942853/content.lines",PMC5942853,,,,,,,,,,,,,,,supplement grep; merged-content-flag=False; packet=famulare-2018-plosbio__grep_supplement.txt
famulare-2018-plosbio,Paperclip MCP,famulare-2018-plosbio-lookup-doi,lookup doi 10.1371/journal.pbio.2002468,,,,,not resolved,,,,,,,,,,,DOI lookup; packet=famulare-2018-plosbio__lookup_doi.txt
famulare-2018-plosbio,Paperclip MCP,famulare-2018-plosbio-lookup-pmid,lookup pmid 29702638,PMC5942853,,,,resolved,,,,,,,,,,,PMID lookup; packet=famulare-2018-plosbio__lookup_pmid.txt
famulare-2018-plosbio,Paperclip MCP,famulare-2018-plosbio-search-title,"search -t --all ""Assessing the stability of polio eradication after the withdrawal of oral polio vaccine"" -n 5",PMC5942853,,,,title-search-returned-5-results,,,,,,,,,,,Title search; packet=famulare-2018-plosbio__search_title.txt
famulare-2018-plosbio,Paperclip MCP,famulare-2018-plosbio-ls,ls /papers/PMC5942853/,PMC5942853,,,,,,,,,,,,,,,ls; packet=famulare-2018-plosbio__ls.txt
famulare-2018-plosbio,Paperclip MCP,famulare-2018-plosbio-wc,wc /papers/PMC5942853/content.lines,PMC5942853,,,,,1081313,252,,,,,,,,,wc; packet=famulare-2018-plosbio__wc.txt
famulare-2018-plosbio,Paperclip MCP,famulare-2018-plosbio-ls-supplements,ls /papers/PMC5942853/supplements/,PMC5942853,,,,,,,,,,,,,,,supplement ls; packet=famulare-2018-plosbio__ls_supplements.txt
famulare-2018-plosbio,Paperclip MCP,famulare-2018-plosbio-grep-supplement,"grep -n -i -m 5 ""supplement|appendix"" /papers/PMC5942853/content.lines",PMC5942853,,,,,,,,,,,,,,,supplement grep; merged-content-flag=False; packet=famulare-2018-plosbio__grep_supplement.txt
famulare-2018-plosbio,Paperclip MCP,famulare-2018-plosbio-map-n-probe,"map --from s_c224dc93 -n 1 ""What is the central mechanistic or empirical claim of THIS paper only?""",s_c224dc93,,,,tasks=5/5,,,,,,,,,,no,map -n 1 probe; honored=no; packet=famulare-2018-plosbio__map_n_probe.txt
sfs-nejm-2020,Paperclip MCP,sfs-nejm-2020-lookup-doi,lookup doi 10.1056/NEJMc2008646,,,,,not resolved,,,,,,,,,,,DOI lookup; packet=sfs-nejm-2020__lookup_doi.txt
sfs-nejm-2020,Paperclip MCP,sfs-nejm-2020-lookup-pmid,lookup pmid 32356944,PMC7206929,,,,resolved,,,,,,,,,,,PMID lookup; packet=sfs-nejm-2020__lookup_pmid.txt
sfs-nejm-2020,Paperclip MCP,sfs-nejm-2020-search-title,"search -t --all ""Early Detection of Covid-19 through a Citywide Pandemic Surveillance Platform"" -n 5",med_183e39876dca,,,,title-search-returned-5-results,,,,,,,,,,,Title search; packet=sfs-nejm-2020__search_title.txt
sfs-nejm-2020,Paperclip MCP,sfs-nejm-2020-ls,ls /papers/PMC7206929/,PMC7206929,,,,,,,,,,,,,,,ls; packet=sfs-nejm-2020__ls.txt
sfs-nejm-2020,Paperclip MCP,sfs-nejm-2020-wc,wc /papers/PMC7206929/content.lines,PMC7206929,,,,,249687,3475,,,,,,,,,wc; packet=sfs-nejm-2020__wc.txt
sfs-nejm-2020,Paperclip MCP,sfs-nejm-2020-ls-supplements,ls /papers/PMC7206929/supplements/,PMC7206929,,,,,,,,,,,,,,,supplement ls; packet=sfs-nejm-2020__ls_supplements.txt
sfs-nejm-2020,Paperclip MCP,sfs-nejm-2020-grep-supplement,"grep -n -i -m 5 ""supplement|appendix"" /papers/PMC7206929/content.lines",PMC7206929,,,,,,,,,,,,,,,supplement grep; merged-content-flag=True; packet=sfs-nejm-2020__grep_supplement.txt
sfs-nejm-2020,Paperclip MCP,sfs-nejm-2020-map-n-probe,"map --from s_a135f657 -n 1 ""What is the central mechanistic or empirical claim of THIS paper only?""",s_a135f657,,,,tasks=5/5,,,,,,,,,,no,map -n 1 probe; honored=no; packet=sfs-nejm-2020__map_n_probe.txt
kew-2005-opv-review,Paperclip MCP,kew-2005-opv-review-lookup-doi,lookup doi 10.1146/annurev.micro.58.030603.123625,,,,,not resolved,,,,,,,,,,,DOI lookup; packet=kew-2005-opv-review__lookup_doi.txt
kew-2005-opv-review,Paperclip MCP,kew-2005-opv-review-lookup-pmid,lookup pmid 16153180,,,,,not resolved,,,,,,,,,,,PMID lookup; packet=kew-2005-opv-review__lookup_pmid.txt
kew-2005-opv-review,Paperclip MCP,kew-2005-opv-review-search-title,"search -t --all ""Vaccine-derived polioviruses and the endgame strategy for global polio eradication"" -n 5",med_ef5c8f1f6c08,,,,title-search-returned-5-results,,,,,,,,,,,Title search; packet=kew-2005-opv-review__search_title.txt
kew-2005-opv-review,Paperclip MCP,kew-2005-opv-review-ls,ls /papers/med_ef5c8f1f6c08/,med_ef5c8f1f6c08,,,,,,,,,,,,,,,ls; packet=kew-2005-opv-review__ls.txt
kew-2005-opv-review,Paperclip MCP,kew-2005-opv-review-wc,wc /papers/med_ef5c8f1f6c08/content.lines,med_ef5c8f1f6c08,,,,,63027,270,,,,,,,,,wc; packet=kew-2005-opv-review__wc.txt
kew-2005-opv-review,Paperclip MCP,kew-2005-opv-review-map-n-probe,"map --from s_33cd8f0d -n 1 ""What is the central mechanistic or empirical claim of THIS paper only?""",s_33cd8f0d,,,,tasks=5/5,,,,,,,,,,no,map -n 1 probe; honored=no; packet=kew-2005-opv-review__map_n_probe.txt
khoury-2021-natmed,Paperclip MCP,khoury-2021-natmed-lookup-doi,lookup doi 10.1038/s41591-021-01377-8,,,,,not resolved,,,,,,,,,,,DOI lookup; packet=khoury-2021-natmed__lookup_doi.txt
khoury-2021-natmed,Paperclip MCP,khoury-2021-natmed-lookup-pmid,lookup pmid 34002089,,,,,not resolved,,,,,,,,,,,PMID lookup; packet=khoury-2021-natmed__lookup_pmid.txt
khoury-2021-natmed,Paperclip MCP,khoury-2021-natmed-search-title,"search -t --all ""Neutralizing antibody levels are highly predictive of immune protection from symptomatic SARS-CoV-2 infection"" -n 5",med_19bd1cbe73d5,,,,title-search-returned-5-results,,,,,,,,,,,Title search; packet=khoury-2021-natmed__search_title.txt
khoury-2021-natmed,Paperclip MCP,khoury-2021-natmed-ls,ls /papers/med_19bd1cbe73d5/,med_19bd1cbe73d5,,,,,,,,,,,,,,,ls; packet=khoury-2021-natmed__ls.txt
khoury-2021-natmed,Paperclip MCP,khoury-2021-natmed-wc,wc /papers/med_19bd1cbe73d5/content.lines,med_19bd1cbe73d5,,,,,54947,178,,,,,,,,,wc; packet=khoury-2021-natmed__wc.txt
khoury-2021-natmed,Paperclip MCP,khoury-2021-natmed-map-n-probe,"map --from s_bff83ef1 -n 1 ""What is the central mechanistic or empirical claim of THIS paper only?""",s_bff83ef1,,,,tasks=5/5,,,,,,,,,,no,map -n 1 probe; honored=no; packet=khoury-2021-natmed__map_n_probe.txt
hornick-typhoid,Paperclip MCP,hornick-typhoid-lookup-pmid,lookup pmid 4916913,,,,,not resolved,,,,,,,,,,,PMID lookup; packet=hornick-typhoid__lookup_pmid.txt
hornick-typhoid,Paperclip MCP,hornick-typhoid-search-title,"search -t --all ""Typhoid fever pathogenesis and immunologic control"" -n 5",med_1d85b4706e45,,,,title-search-returned-5-results,,,,,,,,,,,Title search; packet=hornick-typhoid__search_title.txt
hornick-typhoid,Paperclip MCP,hornick-typhoid-ls,ls /papers/med_1d85b4706e45/,med_1d85b4706e45,,,,,,,,,,,,,,,ls; packet=hornick-typhoid__ls.txt
hornick-typhoid,Paperclip MCP,hornick-typhoid-wc,wc /papers/med_1d85b4706e45/content.lines,med_1d85b4706e45,,,,,79607,240,,,,,,,,,wc; packet=hornick-typhoid__wc.txt
hornick-typhoid,Paperclip MCP,hornick-typhoid-map-n-probe,"map --from s_f5c17030 -n 1 ""What is the central mechanistic or empirical claim of THIS paper only?""",s_f5c17030,,,,tasks=5/5,,,,,,,,,,no,map -n 1 probe; honored=no; packet=hornick-typhoid__map_n_probe.txt
thakkar-famulare-arxiv,Paperclip MCP,thakkar-famulare-arxiv-lookup-arxiv-2205.02150,lookup arxiv 2205.02150,,,,,not resolved,,,,,,,,,,,arXiv lookup; packet=thakkar-famulare-arxiv__lookup_arxiv_2205_02150.txt
thakkar-famulare-arxiv,Paperclip MCP,thakkar-famulare-arxiv-lookup-arxiv-2311.16317,lookup arxiv 2311.16317,,,,,not resolved,,,,,,,,,,,arXiv lookup; packet=thakkar-famulare-arxiv__lookup_arxiv_2311_16317.txt
thakkar-famulare-arxiv,Paperclip MCP,thakkar-famulare-arxiv-search-title,"search -t --all ""transmission forest generating function"" -n 5",arx_2311.16317,,,,title-search-returned-5-results,,,,,,,,,,,Title search; packet=thakkar-famulare-arxiv__search_title.txt
thakkar-famulare-arxiv,Paperclip MCP,thakkar-famulare-arxiv-ls,ls /papers/arx_2311.16317/,arx_2311.16317,,,,,,,,,,,,,,,ls; packet=thakkar-famulare-arxiv__ls.txt
thakkar-famulare-arxiv,Paperclip MCP,thakkar-famulare-arxiv-wc,wc /papers/arx_2311.16317/content.lines,arx_2311.16317,,,,,31944,130,,,,,,,,,wc; packet=thakkar-famulare-arxiv__wc.txt
thakkar-famulare-arxiv,Paperclip MCP,thakkar-famulare-arxiv-map-n-probe,"map --from s_d51e992a -n 1 ""What is the central mechanistic or empirical claim of THIS paper only?""",s_d51e992a,,,,tasks=5/5,,,,,,,,,,no,map -n 1 probe; honored=no; packet=thakkar-famulare-arxiv__map_n_probe.txt
nigeria-2015-versioning,Paperclip MCP,nigeria-2015-versioning-lookup-doi,lookup doi 10.1371/journal.pone.0135765,,,,,not resolved,,,,,,,,,,,DOI lookup; packet=nigeria-2015-versioning__lookup_doi.txt
nigeria-2015-versioning,Paperclip MCP,nigeria-2015-versioning-lookup-pmid,lookup pmid 26317401,PMC4552877,,,,resolved,,,,,,,,,,,PMID lookup; packet=nigeria-2015-versioning__lookup_pmid.txt
nigeria-2015-versioning,Paperclip MCP,nigeria-2015-versioning-lookup-arxiv-1504.02751,lookup arxiv 1504.02751,PMC4552877,,,,not resolved,,,,,,,,,,,arXiv lookup; packet=nigeria-2015-versioning__lookup_arxiv_1504_02751.txt
nigeria-2015-versioning,Paperclip MCP,nigeria-2015-versioning-search-title,"search -t --all ""Has wild poliovirus been eliminated from Nigeria?"" -n 5",arx_1504.02751,,,,title-search-returned-4-results,,,,,,,,,,,Title search; packet=nigeria-2015-versioning__search_title.txt
nigeria-2015-versioning,Paperclip MCP,nigeria-2015-versioning-ls,ls /papers/PMC4552877/,PMC4552877,,,,,,,,,,,,,,,ls; packet=nigeria-2015-versioning__ls.txt
nigeria-2015-versioning,Paperclip MCP,nigeria-2015-versioning-wc,wc /papers/PMC4552877/content.lines,PMC4552877,,,,,43204,116,,,,,,,,,wc; packet=nigeria-2015-versioning__wc.txt
nigeria-2015-versioning,Paperclip MCP,nigeria-2015-versioning-map-n-probe,"map --from s_0ee69dd3 -n 1 ""What is the central mechanistic or empirical claim of THIS paper only?""",s_0ee69dd3,,,,tasks=4/4,,,,,,,,,,no,map -n 1 probe; honored=no; packet=nigeria-2015-versioning__map_n_probe.txt
cheslock-1960-ocr,Paperclip MCP,cheslock-1960-ocr-search-title,"search -t --all ""Response of human beings to a low vitamin B6 diet"" -n 5",PMC3679127,,,,title-search-returned-5-results,,,,,,,,,,,Title search; packet=cheslock-1960-ocr__search_title.txt
cheslock-1960-ocr,Paperclip MCP,cheslock-1960-ocr-ls,ls /papers/PMC3679127/,PMC3679127,,,,,,,,,,,,,,,ls; packet=cheslock-1960-ocr__ls.txt
cheslock-1960-ocr,Paperclip MCP,cheslock-1960-ocr-wc,wc /papers/PMC3679127/content.lines,PMC3679127,,,,,60515,226,,,,,,,,,wc; packet=cheslock-1960-ocr__wc.txt
nct04232943-pmid36746739,Paperclip MCP,nct04232943-pmid36746739-lookup-pmid,lookup pmid 36746739,PMC9996288,,,,resolved,,,,,,,,,,,PMID lookup; packet=nct04232943-pmid36746739__lookup_pmid.txt
nct04232943-pmid36746739,Paperclip MCP,nct04232943-pmid36746739-search-nct,"search -s trials/us ""NCT04232943"" -n 5",,,,,search-returned-2-trial-ids,,,,,,,,,verify in notes,,NCT search; packet=nct04232943-pmid36746739__search_nct.txt
nct04232943-pmid36746739,Paperclip MCP,nct04232943-pmid36746739-search-title,"search -t --all ""Safety tolerability immunogenicity inactivated poliovirus vaccine dmLT adjuvant"" -n 5",PMC9996288,,,,title-search-returned-5-results,,,,,,,,,,,Title search; packet=nct04232943-pmid36746739__search_title.txt
nct04232943-pmid36746739,Paperclip MCP,nct04232943-pmid36746739-ls,ls /papers/PMC9996288/,PMC9996288,,,,,,,,,,,,,,,ls; packet=nct04232943-pmid36746739__ls.txt
nct04232943-pmid36746739,Paperclip MCP,nct04232943-pmid36746739-wc,wc /papers/PMC9996288/content.lines,PMC9996288,,,,,51441,116,,,,,,,,,wc; packet=nct04232943-pmid36746739__wc.txt
nct04232943-pmid36746739,Paperclip MCP,nct04232943-pmid36746739-ls-supplements,ls /papers/PMC9996288/supplements/,PMC9996288,,,,,,,,,,,,,,,supplement ls; packet=nct04232943-pmid36746739__ls_supplements.txt
nct04232943-pmid36746739,Paperclip MCP,nct04232943-pmid36746739-grep-supplement,"grep -n -i -m 5 ""supplement|appendix"" /papers/PMC9996288/content.lines",PMC9996288,,,,,,,,,,,,,,,supplement grep; merged-content-flag=True; packet=nct04232943-pmid36746739__grep_supplement.txt
nct04232943-pmid36746739,Paperclip MCP,nct04232943-pmid36746739-trial-map,"map --from s_1971aa39 -n 1 ""Summarize the registered arms, enrollment, and primary endpoints.""",s_1971aa39,,,,trial-map-failed,,,,,,,,,,test,trial map; packet=nct04232943-pmid36746739__trial_map.txt
nct04232943-pmid36746739,Paperclip MCP,nct04232943-pmid36746739-map-n-probe,"map --from s_9187a999 -n 1 ""What is the central mechanistic or empirical claim of THIS paper only?""",s_9187a999,,,,tasks=5/5,,,,,,,,,,no,map -n 1 probe; honored=no; packet=nct04232943-pmid36746739__map_n_probe.txt
heldout-tbe-vaccine,Paperclip MCP,heldout-tbe-vaccine-lookup-pmid,lookup pmid 23997980,,,,,not resolved,,,,,,,,,,,PMID lookup; packet=heldout-tbe-vaccine__lookup_pmid.txt
heldout-tbe-vaccine,Paperclip MCP,heldout-tbe-vaccine-search-title,"search -t --all ""Tick-borne Encephalitis Vaccines"" -n 5",PMC3899155,,,,title-search-returned-5-results,,,,,,,,,,,Title search; packet=heldout-tbe-vaccine__search_title.txt
heldout-tbe-vaccine,Paperclip MCP,heldout-tbe-vaccine-ls,ls /papers/PMC3899155/,PMC3899155,,,,,,,,,,,,,,,ls; packet=heldout-tbe-vaccine__ls.txt
heldout-tbe-vaccine,Paperclip MCP,heldout-tbe-vaccine-wc,wc /papers/PMC3899155/content.lines,PMC3899155,,,,,52247,203,,,,,,,,,wc; packet=heldout-tbe-vaccine__wc.txt
heldout-tbe-vaccine,Paperclip MCP,heldout-tbe-vaccine-map-n-probe,"map --from s_d002d6ad -n 1 ""What is the central mechanistic or empirical claim of THIS paper only?""",s_d002d6ad,,,,tasks=5/5,,,,,,,,,,no,map -n 1 probe; honored=no; packet=heldout-tbe-vaccine__map_n_probe.txt
heldout-hepc-ns5a,Paperclip MCP,heldout-hepc-ns5a-lookup-pmid,lookup pmid 26904396,PMC4724659,,,,resolved,,,,,,,,,,,PMID lookup; packet=heldout-hepc-ns5a__lookup_pmid.txt
heldout-hepc-ns5a,Paperclip MCP,heldout-hepc-ns5a-search-title,"search -t --all ""Direct anti-HCV agents"" -n 5",PMC3292288,,,,title-search-returned-5-results,,,,,,,,,,,Title search; packet=heldout-hepc-ns5a__search_title.txt
heldout-hepc-ns5a,Paperclip MCP,heldout-hepc-ns5a-ls,ls /papers/PMC4724659/,PMC4724659,,,,,,,,,,,,,,,ls; packet=heldout-hepc-ns5a__ls.txt
heldout-hepc-ns5a,Paperclip MCP,heldout-hepc-ns5a-wc,wc /papers/PMC4724659/content.lines,PMC4724659,,,,,24665,65,,,,,,,,,wc; packet=heldout-hepc-ns5a__wc.txt
heldout-hepc-ns5a,Paperclip MCP,heldout-hepc-ns5a-map-n-probe,"map --from s_97706ecf -n 1 ""What is the central mechanistic or empirical claim of THIS paper only?""",s_97706ecf,,,,tasks=5/5,,,,,,,,,,no,map -n 1 probe; honored=no; packet=heldout-hepc-ns5a__map_n_probe.txt
heldout-tafamidis-attr,Paperclip MCP,heldout-tafamidis-attr-lookup-pmid,lookup pmid 30145929,,,,,not resolved,,,,,,,,,,,PMID lookup; packet=heldout-tafamidis-attr__lookup_pmid.txt
heldout-tafamidis-attr,Paperclip MCP,heldout-tafamidis-attr-search-title,"search -t --all ""Tafamidis Treatment for Patients with Transthyretin Amyloid Cardiomyopathy"" -n 5",med_cf8e3df76ca2,,,,title-search-returned-5-results,,,,,,,,,,,Title search; packet=heldout-tafamidis-attr__search_title.txt
heldout-tafamidis-attr,Paperclip MCP,heldout-tafamidis-attr-ls,ls /papers/med_cf8e3df76ca2/,med_cf8e3df76ca2,,,,,,,,,,,,,,,ls; packet=heldout-tafamidis-attr__ls.txt
heldout-tafamidis-attr,Paperclip MCP,heldout-tafamidis-attr-wc,wc /papers/med_cf8e3df76ca2/content.lines,med_cf8e3df76ca2,,,,,37248,126,,,,,,,,,wc; packet=heldout-tafamidis-attr__wc.txt
heldout-tafamidis-attr,Paperclip MCP,heldout-tafamidis-attr-map-n-probe,"map --from s_a3cfc5ea -n 1 ""What is the central mechanistic or empirical claim of THIS paper only?""",s_a3cfc5ea,,,,tasks=5/5,,,,,,,,,,no,map -n 1 probe; honored=no; packet=heldout-tafamidis-attr__map_n_probe.txt
heldout-snakebite,Paperclip MCP,heldout-snakebite-lookup-pmid,lookup pmid 29363648,PMC5798054,,,,resolved,,,,,,,,,,,PMID lookup; packet=heldout-snakebite__lookup_pmid.txt
heldout-snakebite,Paperclip MCP,heldout-snakebite-search-title,"search -t --all ""Increased Efficacy of Antivenom Combined with Hyperbaric Oxygen on Deinagkistrodon acutus Envenomation"" -n 5",PMC5798054,,,,title-search-returned-5-results,,,,,,,,,,,Title search; packet=heldout-snakebite__search_title.txt
heldout-snakebite,Paperclip MCP,heldout-snakebite-ls,ls /papers/PMC5798054/,PMC5798054,,,,,,,,,,,,,,,ls; packet=heldout-snakebite__ls.txt
heldout-snakebite,Paperclip MCP,heldout-snakebite-wc,wc /papers/PMC5798054/content.lines,PMC5798054,,,,,33630,92,,,,,,,,,wc; packet=heldout-snakebite__wc.txt
heldout-snakebite,Paperclip MCP,heldout-snakebite-map-n-probe,"map --from s_b3a5e578 -n 1 ""What is the central mechanistic or empirical claim of THIS paper only?""",s_b3a5e578,,,,tasks=5/5,,,,,,,,,,no,map -n 1 probe; honored=no; packet=heldout-snakebite__map_n_probe.txt
heldout-podoconiosis,Paperclip MCP,heldout-podoconiosis-lookup-pmid,lookup pmid 33558538,PMC7870958,,,,resolved,,,,,,,,,,,PMID lookup; packet=heldout-podoconiosis__lookup_pmid.txt
heldout-podoconiosis,Paperclip MCP,heldout-podoconiosis-search-title,"search -t --all ""Replication of HLA class II locus association with susceptibility to podoconiosis in three Ethiopian ethnic groups"" -n 5",med_6470252a6d97,,,,title-search-returned-3-results,,,,,,,,,,,Title search; packet=heldout-podoconiosis__search_title.txt
heldout-podoconiosis,Paperclip MCP,heldout-podoconiosis-ls,ls /papers/PMC7870958/,PMC7870958,,,,,,,,,,,,,,,ls; packet=heldout-podoconiosis__ls.txt
heldout-podoconiosis,Paperclip MCP,heldout-podoconiosis-wc,wc /papers/PMC7870958/content.lines,PMC7870958,,,,,55364,134,,,,,,,,,wc; packet=heldout-podoconiosis__wc.txt
heldout-podoconiosis,Paperclip MCP,heldout-podoconiosis-map-n-probe,"map --from s_004d5954 -n 1 ""What is the central mechanistic or empirical claim of THIS paper only?""",s_004d5954,,,,tasks=5/5,,,,,,,,,,no,map -n 1 probe; honored=no; packet=heldout-podoconiosis__map_n_probe.txt
