case_id,source_arm,synthesis_file,scorer1_id,scorer2_id,evidence_fidelity,missing_detail_control,unsupported_claim_detection,version_provenance_fidelity,supplement_protocol_table_figure_use,traceability,domain_usefulness,time_friction,overall_score,caps_applied,adjudication_status,scorer1_output,scorer2_output,notes
cheslock-1960-ocr,hybrid,synthesis_outputs/cheslock-1960-ocr__hybrid.md,A,B,4,5,5,NA,3,4,4,3,4,,auto-merged,scorer_packets/output/scorerA_all.md,scorer_packets/output/scorerB_all.md,A_rationale: Identity correct from filename + head slice; Paperclip miss flagged; honest about no body content beyond design. | B_rationale: Identity solid; flags Paperclip miss + slice-only content; clean cross-arm reconciliation.
cheslock-1960-ocr,local,synthesis_outputs/cheslock-1960-ocr__local.md,A,B,4,5,4,NA,3,4,3,2,4,,auto-merged,scorer_packets/output/scorerA_all.md,scorer_packets/output/scorerB_all.md,A_rationale: OCR slice exposes title/design/52-day depletion; explicitly refuses to claim results or numbers. | B_rationale: Head/tail slice only; correctly bounds claims to slice evidence and OCR limits.
cheslock-1960-ocr,paperclip,synthesis_outputs/cheslock-1960-ocr__paperclip.md,A,B,4,5,5,NA,NA,4,2,4,4,,needs-review,scorer_packets/output/scorerA_all.md,scorer_packets/output/scorerB_all.md,A_rationale: Correct refusal — target absent from corpus; refuses to substitute Gregory 2013; not useful for ingestion but honest. | B_rationale: Honest miss; refuses substitution from Gregory 2013; no target content. | DIVERGENCE: A=NA;B=4
famulare-2018-plosbio,hybrid,synthesis_outputs/famulare-2018-plosbio__hybrid.md,A,B,5,4,4,4,4,4,4,3,4,,auto-merged,scorer_packets/output/scorerA_all.md,scorer_packets/output/scorerB_all.md,"A_rationale: All three sources triangulate; correctly identifies S1 Text, three calibration cohorts, DOI-miss + map contamination flagged. | B_rationale: Strongest of three arms; integrates web identity + Paperclip + local preprint slices; flags DOI miss and S1 Text vocabulary mismatch."
famulare-2018-plosbio,local,synthesis_outputs/famulare-2018-plosbio__local.md,A,B,4,4,4,4,4,4,4,3,4,,auto-merged,scorer_packets/output/scorerA_all.md,scorer_packets/output/scorerB_all.md,"A_rationale: Identifies bioRxiv preprint version explicitly; surfaces S1 TOC, N_Ab, three datasets; truncated on key sentence. | B_rationale: Identifies bioRxiv preprint version explicitly; S1 TOC surfaces structure; cautious on body content."
famulare-2018-plosbio,paperclip,synthesis_outputs/famulare-2018-plosbio__paperclip.md,A,B,2,4,4,2,2,3,2,2,3,supplement-heavy + versioned without validated labels → MD/VP/overall ≤ 3 || Supplement-heavy without validated supplement inventory (MD≤3 effectively); VP no version label,auto-merged,scorer_packets/output/scorerA_all.md,scorer_packets/output/scorerB_all.md,A_rationale: Identifies paper but never reads body or supplements; map truncated and contaminated; version not addressed. | B_rationale: Map contaminated; supplement files listed but not read; preprint/final distinction not surfaced.
famulare-2018-plosbio,web,synthesis_outputs/famulare-2018-plosbio__web.md,A,B,4,4,5,4,1,4,4,4,4,,needs-review,scorer_packets/output/scorerA_all.md,scorer_packets/output/scorerB_all.md,A_rationale: Final paper identified with preprint lineage noted; abstract-only as expected; appropriately scoped. | B_rationale: Clean abstract-only synthesis; no supplement access by design; clear refusals where appropriate. | DIVERGENCE: A=NA;B=1
heldout-hepc-ns5a,hybrid,synthesis_outputs/heldout-hepc-ns5a__hybrid.md,A,B,4,4,5,4,3,4,4,4,4,,needs-review,scorer_packets/output/scorerA_all.md,scorer_packets/output/scorerB_all.md,A_rationale: Convergent identity (PMID + Paperclip); full abstract; correctly notes NS5A specifics not body-sourced. | B_rationale: Identity converges across arms; full abstract present; appropriately bounded NS5A claims. | DIVERGENCE: A=4;B=NA; A=3;B=NA
heldout-hepc-ns5a,paperclip,synthesis_outputs/heldout-hepc-ns5a__paperclip.md,A,B,4,5,5,3,2,4,3,3,4,,needs-review,scorer_packets/output/scorerA_all.md,scorer_packets/output/scorerB_all.md,"A_rationale: Target identified by PMID lookup but body never opened; honest about lack of evidence. | B_rationale: Target identified, content not opened; honest about gap; refuses contaminant substitution. | DIVERGENCE: A=3;B=NA"
heldout-hepc-ns5a,web,synthesis_outputs/heldout-hepc-ns5a__web.md,A,B,4,4,5,4,NA,4,4,4,4,,needs-review,scorer_packets/output/scorerA_all.md,scorer_packets/output/scorerB_all.md,"A_rationale: Full abstract with cure-rate numbers, drug classes, pipeline; appropriately abstract-bounded. | B_rationale: Abstract-only synthesis with appropriate refusal on NS5A mechanism details. | DIVERGENCE: A=4;B=NA"
heldout-podoconiosis,hybrid,synthesis_outputs/heldout-podoconiosis__hybrid.md,A,B,4,4,4,4,3,4,4,4,4,,needs-review,scorer_packets/output/scorerA_all.md,scorer_packets/output/scorerB_all.md,"A_rationale: Identity confirmed both arms; reports lead SNP rs9270911, OR, both GWAS counts; map contamination flagged. | B_rationale: Solid coverage; both arms converge cleanly; some inference flagged appropriately. | DIVERGENCE: A=4;B=NA; A=3;B=NA"
heldout-podoconiosis,paperclip,synthesis_outputs/heldout-podoconiosis__paperclip.md,A,B,4,5,5,3,2,4,2,3,4,,needs-review,scorer_packets/output/scorerA_all.md,scorer_packets/output/scorerB_all.md,A_rationale: PMID identity correct; only one truncated map line; honest refusal on numbers. | B_rationale: Identity confirmed but no body content; flags contamination from related immune-activation paper. | DIVERGENCE: A=3;B=NA; A=2;B=NA
heldout-podoconiosis,web,synthesis_outputs/heldout-podoconiosis__web.md,A,B,5,4,5,4,NA,5,4,4,5,,needs-review,scorer_packets/output/scorerA_all.md,scorer_packets/output/scorerB_all.md,"A_rationale: Full abstract reports lead SNP, OR, CIs, 14/47 SNP counts; all reproduced cleanly. | B_rationale: Excellent abstract-grounded synthesis; precise SNP/OR/CI reporting; appropriate refusal on methodological detail. | DIVERGENCE: A=4;B=NA"
heldout-snakebite,hybrid,synthesis_outputs/heldout-snakebite__hybrid.md,A,B,5,4,5,4,3,4,4,4,4,,needs-review,scorer_packets/output/scorerA_all.md,scorer_packets/output/scorerB_all.md,A_rationale: Convergent identity; full abstract with F/P statistics and design; minor inferential framing on limitations. | B_rationale: Clean cross-arm convergence; quantitative results from abstract; appropriate caveats. | DIVERGENCE: A=4;B=NA; A=3;B=NA
heldout-snakebite,paperclip,synthesis_outputs/heldout-snakebite__paperclip.md,A,B,4,5,5,3,2,4,2,3,4,,needs-review,scorer_packets/output/scorerA_all.md,scorer_packets/output/scorerB_all.md,A_rationale: PMID + title both resolve; body unread; refuses to claim numbers. | B_rationale: Identity confirmed via two routes; body not opened; appropriate refusal and contamination flagging. | DIVERGENCE: A=3;B=NA; A=2;B=NA
heldout-snakebite,web,synthesis_outputs/heldout-snakebite__web.md,A,B,5,4,5,4,NA,5,4,4,5,,needs-review,scorer_packets/output/scorerA_all.md,scorer_packets/output/scorerB_all.md,"A_rationale: Full abstract reproduced including F-stats; appropriate hedging on limitations. | B_rationale: Excellent abstract-grounded synthesis with F/P stats, design, conclusion, all properly bounded. | DIVERGENCE: A=4;B=NA"
heldout-tafamidis-attr,hybrid,synthesis_outputs/heldout-tafamidis-attr__hybrid.md,A,B,4,4,4,4,NA,4,4,3,4,,needs-review,scorer_packets/output/scorerA_all.md,scorer_packets/output/scorerB_all.md,A_rationale: Identity correct from web/API; Paperclip miss flagged; refuses to fabricate ATTR-ACT numbers from extensions. | B_rationale: Identity solid; flags Paperclip miss; uses diagnostic anchors as orienting context; no body recovered. | DIVERGENCE: A=4;B=NA
heldout-tafamidis-attr,paperclip,synthesis_outputs/heldout-tafamidis-attr__paperclip.md,A,B,3,5,5,NA,NA,4,2,2,4,,needs-review,scorer_packets/output/scorerA_all.md,scorer_packets/output/scorerB_all.md,"A_rationale: Honest ""No documents found"" + refusal to substitute extension paper; not useful but correct refusal. | B_rationale: Honest miss declaration; refuses to use extension/cost-effectiveness paper as proxy; appropriate refusal. | DIVERGENCE: A=NA;B=3"
heldout-tafamidis-attr,web,synthesis_outputs/heldout-tafamidis-attr__web.md,A,B,3,5,5,4,NA,4,2,4,4,,needs-review,scorer_packets/output/scorerA_all.md,scorer_packets/output/scorerB_all.md,A_rationale: Abstract field is degenerate (collaborator list only); correctly flagged; identity captured. | B_rationale: Identity only; abstract field degenerate (investigator list); appropriately refuses content claims. | DIVERGENCE: A=4;B=NA
heldout-tbe-vaccine,hybrid,synthesis_outputs/heldout-tbe-vaccine__hybrid.md,A,B,5,4,5,4,NA,4,4,4,4,,needs-review,scorer_packets/output/scorerA_all.md,scorer_packets/output/scorerB_all.md,A_rationale: Identity anchored by web/API; full abstract reproduced; Paperclip miss flagged with named neighbors. | B_rationale: Identity solid via web; refuses to attribute neighbor papers; abstract-grounded with appropriate bounds. | DIVERGENCE: A=4;B=NA
heldout-tbe-vaccine,paperclip,synthesis_outputs/heldout-tbe-vaccine__paperclip.md,A,B,3,5,5,NA,NA,4,2,2,4,,needs-review,scorer_packets/output/scorerA_all.md,scorer_packets/output/scorerB_all.md,A_rationale: Clean negative retrieval; explicit refusal to substitute Amicizia 2013 surrogate. | B_rationale: Clean miss declaration; honestly flags adjacent-paper substitution risk and -n 1 bug. | DIVERGENCE: A=NA;B=3
heldout-tbe-vaccine,web,synthesis_outputs/heldout-tbe-vaccine__web.md,A,B,5,4,5,4,NA,5,4,4,5,,needs-review,scorer_packets/output/scorerA_all.md,scorer_packets/output/scorerB_all.md,"A_rationale: Full abstract with three subtypes, four licensed vaccines, Austrian campaign; well-bounded. | B_rationale: Rich abstract-grounded synthesis; identifies three subtypes, four licensed vaccines, rapid schedule; appropriate refusal on numbers. | DIVERGENCE: A=4;B=NA"
hornick-typhoid,hybrid,synthesis_outputs/hornick-typhoid__hybrid.md,A,B,4,5,5,3,NA,4,2,2,4,,needs-review,scorer_packets/output/scorerA_all.md,scorer_packets/output/scorerB_all.md,"A_rationale: Identity correct; all three arms degraded (Paperclip miss, OCR watermark-only PDFs); ingestion-poor but honest. | B_rationale: Integrates all three arms' failure modes cleanly; identity solid; content not recoverable. | DIVERGENCE: A=3;B=NA"
hornick-typhoid,local,synthesis_outputs/hornick-typhoid__local.md,A,B,3,5,5,NA,NA,4,1,2,4,,needs-review,scorer_packets/output/scorerA_all.md,scorer_packets/output/scorerB_all.md,A_rationale: OCR completely failed (watermark-only); refuses to fabricate; documents failure mode. | B_rationale: Total content failure (watermark-only OCR); honestly reports zero usable content. | DIVERGENCE: A=NA;B=3
hornick-typhoid,paperclip,synthesis_outputs/hornick-typhoid__paperclip.md,A,B,4,5,5,NA,NA,4,1,2,4,,needs-review,scorer_packets/output/scorerA_all.md,scorer_packets/output/scorerB_all.md,A_rationale: Target absent; refuses to substitute Okyere 2024 desk review; correct refusal. | B_rationale: Clean miss with strong contamination/substitution warning; correctly flags Okyere 2024 as risk. | DIVERGENCE: A=NA;B=4
hornick-typhoid,web,synthesis_outputs/hornick-typhoid__web.md,A,B,3,4,5,4,NA,4,2,4,4,,needs-review,scorer_packets/output/scorerA_all.md,scorer_packets/output/scorerB_all.md,"A_rationale: Pre-1980 NEJM has empty abstract field by indexing artifact; identity correct; correctly framed. | B_rationale: Identity only (empty abstract is pre-1980 NEJM pattern, correctly flagged); appropriate refusal. | DIVERGENCE: A=4;B=NA"
kew-2005-opv-review,hybrid,synthesis_outputs/kew-2005-opv-review__hybrid.md,A,B,4,4,5,4,NA,4,4,3,4,,needs-review,scorer_packets/output/scorerA_all.md,scorer_packets/output/scorerB_all.md,"A_rationale: Web abstract anchors; Paperclip miss (both DOI and PMID) flagged; local PDF only exposes title-page. | B_rationale: Best of three arms; ties identity, abstract, local-PDF metadata; flags both DOI and PMID miss as severe coverage gap. | DIVERGENCE: A=4;B=NA"
kew-2005-opv-review,local,synthesis_outputs/kew-2005-opv-review__local.md,A,B,3,5,5,NA,NA,4,2,2,4,,needs-review,scorer_packets/output/scorerA_all.md,scorer_packets/output/scorerB_all.md,A_rationale: Head + tail slices return only front-matter / TOC; refuses to fabricate body content. | B_rationale: Head+tail slices only (front/back matter); honestly reports content unavailability. | DIVERGENCE: A=NA;B=3
kew-2005-opv-review,paperclip,synthesis_outputs/kew-2005-opv-review__paperclip.md,A,B,3,5,5,NA,NA,4,1,2,4,,needs-review,scorer_packets/output/scorerA_all.md,scorer_packets/output/scorerB_all.md,A_rationale: Clean retrieval failure on both ID lookups; refuses to use contaminated map output. | B_rationale: Clean canonical exact-ID miss declaration; explicit refusal of 5 off-target results; meta-finding on Annual Reviews indexing. | DIVERGENCE: A=NA;B=3
kew-2005-opv-review,web,synthesis_outputs/kew-2005-opv-review__web.md,A,B,5,4,5,4,NA,5,4,4,5,,needs-review,scorer_packets/output/scorerA_all.md,scorer_packets/output/scorerB_all.md,A_rationale: Full abstract; explicit VAPP/iVDPV/cVDPV taxonomy; appropriately bounded. | B_rationale: Strong abstract-grounded synthesis; identifies VAPP/iVDPV/cVDPV framing; appropriate bounds on body content. | DIVERGENCE: A=4;B=NA
khoury-2021-natmed,hybrid,synthesis_outputs/khoury-2021-natmed__hybrid.md,A,B,4,4,4,4,NA,4,4,3,4,,auto-merged,scorer_packets/output/scorerA_all.md,scorer_packets/output/scorerB_all.md,A_rationale: Final paper identified by web/API; Paperclip returned preprint (different curves/params); version conflict explicitly flagged. | B_rationale: Identity solid via web; flags preprint-vs-final divergence; appropriate refusal on quantitative diffs.
khoury-2021-natmed,paperclip,synthesis_outputs/khoury-2021-natmed__paperclip.md,A,B,2,4,4,2,2,3,2,2,2,versioned case without validated version label → VP/overall ≤ 3 || Versioned without validated version label (VP=1; overall≤3 effectively but I apply VP cap separately),needs-review,scorer_packets/output/scorerA_all.md,scorer_packets/output/scorerB_all.md,A_rationale: Preprint returned not final paper; ls/wc misrouted to Khaitan paper; correctly diagnoses but no useful content. | B_rationale: Returned preprint instead of final; honestly flags wrong-version risk; ls/wc misdirected to a different paper. | DIVERGENCE: A=2;B=NA
khoury-2021-natmed,web,synthesis_outputs/khoury-2021-natmed__web.md,A,B,4,4,5,4,NA,4,4,4,4,,auto-merged,scorer_packets/output/scorerA_all.md,scorer_packets/output/scorerB_all.md,A_rationale: Full final-paper abstract with 20.2%/3%/250-day numbers reproduced; version lineage noted. | B_rationale: Final version returned with full abstract; precise 20.2%/3% numbers; clean version distinction noted.
nct04232943-pmid36746739,hybrid,synthesis_outputs/nct04232943-pmid36746739__hybrid.md,A,B,4,4,4,4,3,4,4,3,4,trial map failure noted (clause: trial query with failed map → ≤2 for map-dependent claims),needs-review,scorer_packets/output/scorerA_all.md,scorer_packets/output/scorerB_all.md,A_rationale: Identity + structural statistics extracted; trial map UUID error explicitly flagged; results not in bundle but methods solid. | B_rationale: Integrates web + Paperclip; flags trial-map UUID error and -n 1 contamination; methods detail well-characterized. | DIVERGENCE: A=4;B=NA
nct04232943-pmid36746739,paperclip,synthesis_outputs/nct04232943-pmid36746739__paperclip.md,A,B,3,4,4,3,2,4,3,2,3,"trial map UUID failure caps trial-engine score ≤ 2 for map-dependent claims || Supplement-heavy without validated supplement inventory (MD,overall≤3)",needs-review,scorer_packets/output/scorerA_all.md,scorer_packets/output/scorerB_all.md,A_rationale: Paper identity solid; trial registry content unretrieved due to UUID error; methods text sampled only. | B_rationale: Identity confirmed; trial map fails on UUID; body sparsely sampled; methods snippet recovered. | DIVERGENCE: A=3;B=NA
nct04232943-pmid36746739,web,synthesis_outputs/nct04232943-pmid36746739__web.md,A,B,5,4,5,4,4,5,5,4,5,,needs-review,scorer_packets/output/scorerA_all.md,scorer_packets/output/scorerB_all.md,A_rationale: Full structured abstract + ClinicalTrials.gov record + Protocol/SAP existence flagged; high-yield. | B_rationale: Best web synthesis: full structured abstract + CT.gov registry; bridge integrity confirmed; appropriate refusal on full text. | DIVERGENCE: A=4;B=NA
nigeria-2015-versioning,hybrid,synthesis_outputs/nigeria-2015-versioning__hybrid.md,A,B,4,4,4,2,NA,4,4,3,4,"versioned case — Paperclip collapses v1/v2/final, web identifies cleanly → VP capped at 3 in Paperclip-dependent claims || Versioned without validated version label (overall≤3); applied",auto-merged,scorer_packets/output/scorerA_all.md,scorer_packets/output/scorerB_all.md,A_rationale: Identity correct; Paperclip's version-collapse failure explicitly named; web preserves v1/v2/PLOS lineage. | B_rationale: Identity correct; Paperclip version-collapse flagged but synthesis acknowledges no clean v1/v2 distinction.
nigeria-2015-versioning,paperclip,synthesis_outputs/nigeria-2015-versioning__paperclip.md,A,B,3,4,4,2,NA,3,2,3,2,"versioned case without validated version label → VP/overall ≤ 3 || Versioned case without validated version label (VP=1, overall≤3); applied",auto-merged,scorer_packets/output/scorerA_all.md,scorer_packets/output/scorerB_all.md,A_rationale: Records resolved but v1/v2/final collapsed; map degenerate; failure mode correctly characterized. | B_rationale: Version lineage collapsed; arXiv v1/v2/PLOS distinction invisible; honestly flagged.
nigeria-2015-versioning,web,synthesis_outputs/nigeria-2015-versioning__web.md,A,B,5,4,5,5,NA,5,4,4,5,,auto-merged,scorer_packets/output/scorerA_all.md,scorer_packets/output/scorerB_all.md,"A_rationale: Both PMID and arXiv records; v1/v2 dates and ""v2 adds cVDPV2 forecast"" explicit; all probability numbers cited. | B_rationale: Identifies v1 (2015-04-10), v2 (2015-07-10), PLOS ONE (2015-08-28); cVDPV2 forecast attribution correct."
sfs-nejm-2020,hybrid,synthesis_outputs/sfs-nejm-2020__hybrid.md,A,B,4,4,4,4,3,4,4,3,4,wrong content organization (supplement merged into content.lines without separator) — document-reader ≤ 2 noted for Paperclip-dependent claims; not applied to overall here because web identity intact,needs-review,scorer_packets/output/scorerA_all.md,scorer_packets/output/scorerB_all.md,A_rationale: Identity + supplement-merge defect explicitly documented; very thin body content. | B_rationale: Strong cross-arm story: identifies content-org defect via grep on content.lines; flags both supplement-visibility conflict and map contamination. | DIVERGENCE: A=4;B=NA
sfs-nejm-2020,paperclip,synthesis_outputs/sfs-nejm-2020__paperclip.md,A,B,2,4,4,3,2,3,2,2,2,"wrong content organization (supplement merged into content.lines without separator) caps document-reader/overall ≤ 2 || Supplement-heavy without validated supplement inventory (MD,overall≤3); Wrong content organization (supplement merged into content.lines; document-reader/overall≤2)",needs-review,scorer_packets/output/scorerA_all.md,scorer_packets/output/scorerB_all.md,A_rationale: PMID resolves but DOI/title-search fail; supplement merged into content.lines; only headers retrieved. | B_rationale: Honestly flags content-org defect (supplement merged into content.lines); doc-reader cap applies. | DIVERGENCE: A=3;B=NA
sfs-nejm-2020,web,synthesis_outputs/sfs-nejm-2020__web.md,A,B,3,4,5,4,NA,4,2,4,4,,needs-review,scorer_packets/output/scorerA_all.md,scorer_packets/output/scorerB_all.md,A_rationale: NEJM Correspondence empty abstract is expected pattern; identity captured; thin yield. | B_rationale: Abstract empty (NEJM Correspondence pattern); identity solid; appropriate refusal on content. | DIVERGENCE: A=4;B=NA
thakkar-famulare-arxiv,hybrid,synthesis_outputs/thakkar-famulare-arxiv__hybrid.md,A,B,4,4,4,4,NA,4,4,3,4,,auto-merged,scorer_packets/output/scorerA_all.md,scorer_packets/output/scorerB_all.md,A_rationale: 2023 paper has content (Paperclip + local PDF); 2022 paper only identity; lineage explained. | B_rationale: Integrates Paperclip identity + local PDF slice; reports headline qualitative result; appropriate bounds.
thakkar-famulare-arxiv,local,synthesis_outputs/thakkar-famulare-arxiv__local.md,A,B,4,4,4,4,NA,4,4,3,4,,auto-merged,scorer_packets/output/scorerA_all.md,scorer_packets/output/scorerB_all.md,"A_rationale: 2023 head/tail slice exposes abstract, Section I, references; 2022 PDF absent and noted. | B_rationale: 2023 paper head+tail slices give abstract + Section I opening; 2022 paper absent; honest about gap."
thakkar-famulare-arxiv,paperclip,synthesis_outputs/thakkar-famulare-arxiv__paperclip.md,A,B,3,4,4,4,2,4,2,2,4,,needs-review,scorer_packets/output/scorerA_all.md,scorer_packets/output/scorerB_all.md,A_rationale: Both arXiv IDs resolve by lookup; only one editorial snippet for 2023; map content-gap explicitly diagnosed. | B_rationale: Identity confirmed for both arXiv papers; content recovery thin (one editorial snippet); map task content discrepancy noted. | DIVERGENCE: A=2;B=NA
thakkar-famulare-arxiv,web,synthesis_outputs/thakkar-famulare-arxiv__web.md,A,B,2,5,5,4,NA,4,2,3,3,,auto-merged,scorer_packets/output/scorerA_all.md,scorer_packets/output/scorerB_all.md,A_rationale: API rate-limited; only identity metadata; substantive prompts honestly refused. | B_rationale: Rate-limited; identity only; appropriately refuses to characterize content beyond titles.
